,ID,A,B,C,D,AIC,BIC,chi-squared
0,19,8640.31369358,-87.7189409579,0.296129449873,-0.000332717072329,-7.85017567944,-7.53240951272,1.10314984333
0,20,7459.50483655,-76.0634531274,0.257929903678,-0.000291173152822,-12.7631539291,-12.4453877624,0.596931627193
0,21,9908.30498487,-100.670408825,0.340160228349,-0.00038251774903,-2.75687451299,-2.97323391677,1.50563357557
0,22,9866.99135161,-100.766961476,0.34226485311,-0.000386956544432,-3.53841185535,-3.75477125913,1.34657670559
0,23,56559.4005337,-569.084805457,1.9075062179,-0.00213027088012,-1.30638827362,-2.13935039671,1.27213266639
0,24,34651.8027691,-348.313582409,1.16649548992,-0.00130175724334,-7.34289904996,-8.17586117305,0.465152312888
0,25,34829.0284488,-350.065186367,1.17225663238,-0.00130806494414,-6.76956627559,-7.60252839868,0.51179306271
0,26,35836.9237665,-365.656073991,1.24254235238,-0.00140686835641,-10.1369142338,-11.6991625841,0.132928361086
0,27,48938.0626176,-499.024265092,1.69483231722,-0.00191793435422,-27.1490904482,-25.9387500763,0.297505087938
0,28,537.900555082,-6.12286463012,0.0223887546014,-2.692747686e-05,-30.646523523,-32.2087718732,0.00219874883412
0,29,4185.14994582,-43.229079132,0.14809591554,-0.000168745724103,-47.3246640046,-48.8869123549,7.82583606807e-05
0,30,-30304.6336922,300.968843595,-0.996711534064,0.00110023906797,-18.059065575,-19.6213139253,0.0272589000851
0,31,5813.44960775,-61.0292794705,0.212810961262,-0.000246963595881,-22.6840741092,-23.5170362323,0.0360714753567
0,32,35399.175417,-367.896468096,1.271778361,-0.0014634435956,-26.5159985825,-25.7271002732,0.194390476709
